下载时间,20250729 10:20,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
146,东西经度显示,longitude_ew,只上报,value,数值范围：0-255，间距：1，单位：,
147,GPS纬度值,latitude_value,只上报,value,数值范围：0-90000，间距：1，单位：,
148,南北纬度显示,latitude_ns,只上报,value,数值范围：0-255，间距：1，单位：,
149,定时唤醒开关,lptime_onoff,可下发可上报,bool,,
150,座椅倾角位置,seat_tilt_position,只上报,value,数值范围：0-3，间距：1，单位：,
151,故障信息,err_value,只上报,value,数值范围：0-65535，间距：1，单位：,
152,静音模式开关,mute_mode_switch,可下发可上报,bool,,语音模组静音模式设置开关0关1开
,,,,,,
名词解释,,,,,,
产品名称,产品名称，也是App添加设备后的默认显示名,,,,,
产品Key,产品唯一标识码,,,,,
数据点,具体智能设备功能点的抽象，用于描述产品功能及其参数。,,,,,
产品PID,数据点及其参数以数据点ID进行传输,,,,,
显示名称,数据点名称，也是App界面中显示各功能的默认名称,,,,,
标识名,数据点code，用于设备多语言管理时的唯一对应值,,,,,
数据传输类型,"可下发可上报类型：对于被控制设备，既可读取其状态信息，又可改变设备状态； 
只上报类型：对于被控制设备，可读取设备状态信息，但不能改变设备状态；
只下发类型：对于被控制设备，可控制改变设备状态，但不能读取状态信息；",,,,,
数据类型,,,,,,
布尔型,非真即假的二值型变量。如：开关,,,,,
数值型,适用于可线性调节类型的数据。如：温度调节（数值范围：20-50，间距：1，单位：℃）,,,,,
枚举型,自定义的有限集合值。如：工作档位（低档、中档、高档）,,,,,
故障型,专门用于上报及统计设备故障的数据点，可设置1至多个故障。如：温度故障、传感器故障,,,,,
字符型,用于以字符串传输的数据点。如：彩灯的RGBW值,,,,,
RAW型,用于以二进制形式透传的数据。如空调的红外学习,,,,,
