,,,,,,,,,,,,,
,序号,相关功能,相关功能,离线指令词(用户）,播报词（产品）,备注,求知2,求知2Pro,求知3pro/求知3/求知3pro AI,发送协议,回传协议/第一种状态,回传协议/第二种状态,
,60,非自动旋转,非自动旋转,转到侧向/转到里面,已转向侧向/已经在侧向啦,该模式下，座椅转动不判断TOF状态（四个词条灵敏度降低）,,,√,A5 FA 00 81 2F 00 4F FB ,A5 FA 00 03 2F 00 32 FB,A5 FA 00 03 2F 01 33 FB,
,60,非自动旋转,非自动旋转,-,座椅未复位，如要开始座椅复位，请对我说“开始座椅复位”,座椅初始上电后需要进行一次复位，确定原点位置（预留功能，当前软件主动复位）,,,√,-,A5 FA 00 03 34 00 37 FB,,
,61,TOF传感器盖板标定,TOF传感器盖板标定,开始盖板标定,如要进行盖板标定，请对我说：“确认”。,盖板标定一般在出厂时进行，在TOF传感器60cm内不要有遮挡物即可,,,√,A5 FA 00 81 30 00 50 FB ,A5 FA 00 03 30 00 33 FB,,
,61,TOF传感器盖板标定,TOF传感器盖板标定,确认,好的，已开始标定,盖板标定一般在出厂时进行，在TOF传感器60cm内不要有遮挡物即可,,,√,A5 FA 00 81 18 00 38 FB ,A5 FA 00 03 31 00 34 FB,,
,61,TOF传感器盖板标定,TOF传感器盖板标定,-,盖板标定成功/盖板标定失败,盖板标定一般在出厂时进行，在TOF传感器60cm内不要有遮挡物即可,,,√,-,A5 FA 00 03 32 00 35 FB,A5 FA 00 03 32 01 36 FB,
,62,TOF传感器偏差校准,TOF传感器偏差校准,开始主驾后座椅校准,如要进行主驾后座椅校准，请对我说：“确认”。,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,A5 FA 00 81 33 00 53 FB ,A5 FA 00 03 33 00 36 FB,,
,62,TOF传感器偏差校准,TOF传感器偏差校准,开始副驾后座椅校准,如要进行副驾后座椅校准，请对我说：“确认”。,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,A5 FA 00 81 34 00 54 FB ,A5 FA 00 03 34 00 37 FB,,
,62,TOF传感器偏差校准,TOF传感器偏差校准,确认,好的，已开始座椅校准，请在10秒内关闭座椅侧车门,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,A5 FA 00 81 18 00 38 FB ,A5 FA 00 03 35 00 38 FB,,
,62,TOF传感器偏差校准,TOF传感器偏差校准,确认,好的，已开始座椅校准，请在10秒内关闭座椅侧车门,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,A5 FA 00 81 18 00 38 FB ,A5 FA 00 03 35 00 38 FB,,
,62,TOF传感器偏差校准,TOF传感器偏差校准,-,车门关闭校准完成，请在10秒内打开座椅侧车门/车门关闭校准失败,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,,A5 FA 00 03 36 00 39 FB,A5 FA 00 03 36 01 3A FB,
,62,TOF传感器偏差校准,TOF传感器偏差校准,-,校准完成/校准失败,TOF传感器偏差校准由用户完成，用户初次收到货后需要进行一次偏差校准,,,√,,A5 FA 00 03 37 00 3A FB,A5 FA 00 03 37 01 3B FB,
,63,座椅复位,座椅复位,开始座椅复位,好的，请在10秒内移除座椅上物体,座椅上电如果不在四个固定位置，需要进行一次座椅复位操作（预留功能，当前软件主动复位）,,,√,A5 FA 00 81 33 00 53 FB ,A5 FA 00 03 33 00 36 FB,,
,63,座椅复位,座椅复位,-,复位成功/复位失败,座椅上电如果不在四个固定位置，需要进行一次座椅复位操作（预留功能，当前软件主动复位）,,,√,-,A5 FA 00 03 36 00 39 FB,A5 FA 00 03 36 01 3A FB,
,64,座椅安装设置,座椅安装设置,开始座椅安装设置,如要进行座椅安装设置，请对我说：“确认”。,用户变更座椅安装位置后，需要进行座椅安装设置，设置完自动进行校准,,,√,A5 FA 00 81 38 00 58 FB ,A5 FA 00 03 38 00 3B FB,,
,64,座椅安装设置,座椅安装设置,确认,好的，请说座椅安装在主驾后还是副驾后,用户变更座椅安装位置后，需要进行座椅安装设置，设置完自动进行校准,,,√,A5 FA 00 81 18 00 38 FB ,A5 FA 00 03 39 00 3C FB,,
,64,座椅安装设置,座椅安装设置,主驾后,好的，开始座椅校准，请在10秒内关闭座椅侧车门,用户变更座椅安装位置后，需要进行座椅安装设置，设置完自动进行校准,,,√,A5 FA 00 81 3A 00 5A FB ,A5 FA 00 03 35 00 38 FB,,
,64,座椅安装设置,座椅安装设置,副驾后,好的，开始座椅校准，请在10秒内关闭座椅侧车门,用户变更座椅安装位置后，需要进行座椅安装设置，设置完自动进行校准,,,√,A5 FA 00 81 3B 00 5B FB ,A5 FA 00 03 35 00 38 FB,,
,64,座椅安装设置,座椅安装设置,-,校准完成/校准失败,,,,,-,A5 FA 00 03 37 00 3A FB,A5 FA 00 03 37 01 3B FB,
,65,心跳包,心跳包,-,-,每隔5S模组主动发送一次语音心跳包,,,√,A5 FA 00 81 55 55 CA FB,,,
,66,语音唤醒结束,语音唤醒结束,-,-,语音唤醒结束，不进行播报，需要发送指令至MCU,,,√,A5 FA 00 81 02 00 22 FB ,,,
,67,电源板异常播报,电源板异常播报,-,座椅异常，请联系客服,主板与电源板通讯异常时播报,,,√,,A5 FA 00 03 3A 00 3D FB,,
,68,反向乘坐播报,反向乘坐播报,-,反向乘坐时，请将座椅躺角调至最大,反向乘坐时，倾角未在标志位置提醒（座椅转到这个位置，落座时播报，未落座播报到位指令）,,,√,,A5 FA 00 03 3B 00 3E FB,,
,69,旋转电机忙,旋转电机忙,-,请稍后,旋转电机动作中，暂不接收其余电机动作指令,,,√,,A5 FA 00 03 3C 00 3F FB,,
,70,旋转电机动作,旋转电机动作,-,好的，开始座椅旋转,接收到电机动作指令后播报,,,√,,A5 FA 00 03 3D 00 40 FB,,
,71,插销电机异常,插销电机异常,-,插销电机异常，请稍后再试,插销电机解锁/上锁失败,,,√,,A5 FA 00 03 34 00 37 FB,,
,72,旋转电机异常,旋转电机异常,-,旋转电机异常。请手动将座椅转到前向,旋转电机超时未到位,,,√,,A5 FA 00 03 36 00 39 FB,,
